질문번호,기준지점,기준일시,에이전트,표시라벨,질문,가용여부,테이블/컬럼,가정/갭,일반화 쿼리,예시 쿼리,예상 답변,의도ID,동의어
002-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,어제 폐기율 1위 품목,어제 폐기율이 가장 높았던 품목 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",폐기 수량은 stk_rt 음수 변화량으로 추정; 정확한 폐기 컬럼 없음,"SELECT
    item_cd,
    item_nm,
    SUM(disuse_qty::numeric) AS total_disuse_qty,
    SUM(sale_qty::numeric) AS total_sale_qty,
    -- 폐기율 계산: (폐기수량 / 판매수량) * 100, 0으로 나누는 오류 방지를 위해 NULLIF 사용
    ROUND((SUM(disuse_qty::numeric) / NULLIF(SUM(sale_qty::numeric), 0)) * 100, 2) AS discard_rate_pct
FROM
    raw_inventory_extract
WHERE
    masked_stor_cd = :store_id AND -- 날짜 일반화: 쿼리 실행 시점의 시스템 날짜를 'YYYYMMDD' 형태의 텍스트로 변환하여 비교
    stock_dt = :reference_dt
GROUP BY
    item_cd,
    item_nm
HAVING
    SUM(disuse_qty::numeric) > 0 -- 폐기가 1건 이상 발생한 품목만 필터링
ORDER BY
    discard_rate_pct DESC NULLS LAST
LIMIT 10;","SELECT csr.item_cd, csr.item_nm, SUM(CASE WHEN csr.stk_rt < 0 THEN ABS(csr.stk_rt) ELSE 0 END) AS est_waste_qty, SUM(COALESCE(chis.sale_qty,0)) AS total_sale_qty, ROUND(SUM(CASE WHEN csr.stk_rt < 0 THEN ABS(csr.stk_rt) ELSE 0 END) / NULLIF(SUM(COALESCE(chis.sale_qty,0)),0), 4) AS waste_rate FROM core_stock_rate csr LEFT JOIN core_hourly_item_sales chis ON csr.masked_stor_cd = chis.masked_stor_cd AND csr.item_cd = chis.item_cd AND to_date(chis.sale_dt,'YYYYMMDD') = to_date(csr.prc_dt,'YYYYMMDD') WHERE csr.masked_stor_cd = 'POC_010' AND to_date(csr.prc_dt,'YYYYMMDD') BETWEEN '20260305' AND '20260305' GROUP BY csr.item_cd, csr.item_nm ORDER BY waste_rate DESC NULLS LAST, est_waste_qty DESC LIMIT 12 ","어제 폐기율 상위 품목과 해당 품목의 판매수량·폐기수량 수치를 병기하고, 전일 대비 악화 여부를 함께 설명",production_get_highest_disposal_rate_item,어제 폐기율이 가장 높았던 품목 알려줘 | [날짜]에 폐기율이 제일 높았던 품목이 뭐야? | 지난달 폐기율 1위 품목 조회해줘 | 어제 어떤 품목의 폐기율이 가장 높았니? | [날짜] 기준으로 폐기율이 가장 높은 상품 알려줘 | 폐기율이 가장 높게 나타난 품목 확인해줘
008-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고율 구간별 분포 보여줘,"오늘 재고율 구간별(0~20%, 20~50%, 50~80%, 80~100%) 품목 수 알려줘",✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",재고율 구간 분류는 avg_stk_rt 기준; 일중 실시간 변화 반영 불가,"SELECT
    CASE
        WHEN stk_rt::numeric >= 0 AND stk_rt::numeric < 0.20 THEN '1_0~20%'
        WHEN stk_rt::numeric >= 0.20 AND stk_rt::numeric < 0.50 THEN '2_20~50%'
        WHEN stk_rt::numeric >= 0.50 AND stk_rt::numeric < 0.80 THEN '3_50~80%'
        WHEN stk_rt::numeric >= 0.80 AND stk_rt::numeric <= 1.00 THEN '4_80~100%'
        ELSE '5_범위 외 (음수 또는 100% 초과)'
    END AS stock_rate_range,
    COUNT(item_cd) AS item_count
FROM
    raw_stock_rate
WHERE
    masked_stor_cd = :store_id
    AND prc_dt = :reference_dt
GROUP BY
    stock_rate_range
ORDER BY
    stock_rate_range;","SELECT
    CASE
        WHEN stk_rt::numeric >= 0 AND stk_rt::numeric < 0.20 THEN '1_0~20%'
        WHEN stk_rt::numeric >= 0.20 AND stk_rt::numeric < 0.50 THEN '2_20~50%'
        WHEN stk_rt::numeric >= 0.50 AND stk_rt::numeric < 0.80 THEN '3_50~80%'
        WHEN stk_rt::numeric >= 0.80 AND stk_rt::numeric <= 1.00 THEN '4_80~100%'
        ELSE '5_범위 외 (음수 또는 100% 초과)'
    END AS stock_rate_range,
    COUNT(item_cd) AS item_count
FROM
    raw_stock_rate
WHERE
    -- 쿼리 실행 시점의 시스템 날짜를 'YYYYMMDD' 형태의 텍스트로 변환하여 적용
    prc_dt = TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD'), '20260305')
GROUP BY
    stock_rate_range
ORDER BY
    stock_rate_range;","재고율 구간별 품목 수와 각 구간 대표 품목 1~2개를 나열하고, 재고 부족 구간(0~20%)에 속한 품목 수에 대한 즉시 조치 안내를 포함",production_get_item_count_by_stock_rate_range,재고율 분포|재고율 구간 품목 수|재고 상태별 품목|재고율 범위별 분포|재고율 구간별 통계|재고율 분포 현황
009-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고율 50% 미만 품목 수,어제 기준 재고율이 50% 미만인 품목 몇 개야?,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",재고율 구간 분류는 avg_stk_rt 기준; 일중 실시간 변화 반영 불가,"SELECT
    COUNT(item_cd) AS low_stock_item_count
FROM
    raw_stock_rate
WHERE
    prc_dt = TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD') - INTERVAL '1 day', 'YYYYMMDD')
    AND stk_rt::numeric < 0.50;","SELECT
    COUNT(item_cd) AS low_stock_item_count
FROM
    raw_stock_rate
WHERE
    prc_dt = TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD') - INTERVAL '1 day', '20260304')
    AND stk_rt::numeric < 0.50;","재고율 50% 미만 품목 수와 그 중 판매 속도가 빠른 상위 품목을 수치와 함께 제시하고, 재고 보충 우선순위를 안내",production_count_items_below_stock_rate_threshold,어제 기준 재고율이 50% 미만인 품목 몇 개야? | 지난주 재고율 30% 이하인 상품 수 알려줘 | 재고율이 40%보다 낮은 품목은 총 몇 건인가요? | 특정 날짜에 재고율 20% 미만인 제품 개수 확인해줘 | 50% 미만 재고율 품목 수 | 어제 날짜로 재고율이 10% 미만인 품목의 수량을 조회해줘
010-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고율 80% 유지 품목,이번 주 재고율 80% 이상으로 유지된 품목은 뭐야?,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",재고율 구간 분류는 avg_stk_rt 기준; 일중 실시간 변화 반영 불가,"SELECT
    item_cd,
    item_nm,
    MIN(stk_rt::numeric) AS min_stock_rate,  -- 이번 주 최저 재고율
    AVG(stk_rt::numeric) AS avg_stock_rate   -- 이번 주 평균 재고율
FROM
    raw_stock_rate
WHERE
    -- 이번 주 월요일부터 오늘까지의 데이터를 동적으로 조회
    prc_dt >= TO_CHAR(DATE_TRUNC('week', TO_DATE(:reference_dt, 'YYYYMMDD')), 'YYYYMMDD')
    AND prc_dt <= :reference_dt
GROUP BY
    item_cd,
    item_nm
HAVING
    -- 해당 기간 내내 최저 재고율이 80%(0.80) 이상으로 유지된 품목만 필터링
    MIN(stk_rt::numeric) >= 0.80
ORDER BY
    avg_stock_rate DESC NULLS LAST;","SELECT
    item_cd,
    item_nm,
    MIN(stk_rt::numeric) AS min_stock_rate,  -- 이번 주 최저 재고율
    AVG(stk_rt::numeric) AS avg_stock_rate   -- 이번 주 평균 재고율
FROM
    raw_stock_rate
WHERE
    -- 이번 주 월요일부터 오늘까지의 데이터를 동적으로 조회
    prc_dt >= TO_CHAR(DATE_TRUNC('week', TO_DATE(:reference_dt, 'YYYYMMDD')), '20260227')
    AND prc_dt <= TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD'), '20260305')
GROUP BY
    item_cd,
    item_nm
HAVING
    -- 해당 기간 내내 최저 재고율이 80%(0.80) 이상으로 유지된 품목만 필터링
    MIN(stk_rt::numeric) >= 0.80
ORDER BY
    avg_stock_rate DESC NULLS LAST;",이번 주 기간 내 재고율 80% 이상을 안정적으로 유지한 품목 목록과 해당 품목의 평균 재고율 수치를 제시,production_get_items_maintaining_high_stock_rate,이번 주 재고율 80% 이상으로 유지된 품목은 뭐야? | 지난달 재고율이 90% 넘게 유지된 제품 알려줘. | 재고율 70% 이상인 품목 리스트 뽑아봐. | 이번 주에 재고율 85% 이상을 기록한 품목을 확인하고 싶어. | {날짜} 동안 {수치}% 이상의 재고율을 보인 품목은? | 재고율이 {수치}% 밑으로 안 떨어진 품목이 뭐야?
012-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고율 분포 변화,최근 30일 동안 재고율 분포가 어떻게 변했어?,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",재고율 구간 분류는 avg_stk_rt 기준; 일중 실시간 변화 반영 불가,"SELECT 
    prc_dt AS stock_date,
    -- 각 재고율 구간별 품목 수 집계
    COUNT(CASE WHEN stk_rt >= 0 AND stk_rt < 0.20 THEN 1 END) AS cnt_0_20_pct,
    COUNT(CASE WHEN stk_rt >= 0.20 AND stk_rt < 0.50 THEN 1 END) AS cnt_20_50_pct,
    COUNT(CASE WHEN stk_rt >= 0.50 AND stk_rt < 0.80 THEN 1 END) AS cnt_50_80_pct,
    COUNT(CASE WHEN stk_rt >= 0.80 AND stk_rt <= 1.00 THEN 1 END) AS cnt_80_100_pct,
    COUNT(CASE WHEN stk_rt < 0 OR stk_rt > 1.00 THEN 1 END) AS cnt_out_of_bounds -- 품절 후 초과 판매(음수) 등 예외 건
FROM 
    core_stock_rate
WHERE 
    masked_stor_cd = :store_id AND -- 쿼리 실행일 기준 최근 30일 데이터 조회
    prc_dt >= TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD') - INTERVAL '30 days', 'YYYYMMDD') 
    AND prc_dt <= :reference_dt
GROUP BY 
    prc_dt
ORDER BY 
    prc_dt ASC; -- 날짜순(과거 -> 최신) 정렬하여 추이 확인","SELECT 
    prc_dt AS stock_date,
    -- 각 재고율 구간별 품목 수 집계
    COUNT(CASE WHEN stk_rt >= 0 AND stk_rt < 0.20 THEN 1 END) AS cnt_0_20_pct,
    COUNT(CASE WHEN stk_rt >= 0.20 AND stk_rt < 0.50 THEN 1 END) AS cnt_20_50_pct,
    COUNT(CASE WHEN stk_rt >= 0.50 AND stk_rt < 0.80 THEN 1 END) AS cnt_50_80_pct,
    COUNT(CASE WHEN stk_rt >= 0.80 AND stk_rt <= 1.00 THEN 1 END) AS cnt_80_100_pct,
    COUNT(CASE WHEN stk_rt < 0 OR stk_rt > 1.00 THEN 1 END) AS cnt_out_of_bounds -- 품절 후 초과 판매(음수) 등 예외 건
FROM 
    core_stock_rate
WHERE 
    -- 쿼리 실행일 기준 최근 30일 데이터 조회
    prc_dt >= TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD') - INTERVAL '30 days', '20260201')
    AND prc_dt <= TO_CHAR(TO_DATE(:reference_dt, 'YYYYMMDD'), '20260228')
GROUP BY 
    prc_dt
ORDER BY 
    prc_dt ASC; -- 날짜순(과거 -> 최신) 정렬하여 추이 확인","최근 30일간 재고율 구간별 품목 수 변화 추이를 제시하고, 재고 부족 구간 품목이 증가 또는 감소하는 방향을 분석",production_analyze_stock_rate_distribution_trend,지난 한 달간 재고율 분포 추이를 보여줘 | 최근 30일간 재고율이 어떤 분포로 변화했는지 알려줘 | {date_range} 동안의 재고율 분포 변화를 확인하고 싶어 | {item_name}의 최근 30일 재고율 분포 변동 내역은? | 최근 30일 재고율 분포 변화 그래프 보여줘 | 지난 30일 사이 재고율 분포가 어떻게 달라졌니?
013-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,지금 빨리 빠지는 품목은?,오늘 재고 회전이 가장 빠른 품목 10개 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",회전율 = 판매수량 / (평균재고율 × 기준수량); 기준수량은 가정 필요,"SELECT 
    item_cd,
    item_nm,
    ord_avg AS supply_qty,   -- 판매가능수량 (당일 공급 기반)
    sal_avg AS sales_qty,    -- 실제 판매량
    stk_avg AS stock_qty,    -- 마감/현재 재고량
    stk_rt AS stock_rate,    -- 당일 재고율
    ROUND((sal_avg / NULLIF(ord_avg, 0)) * 100, 2) AS turnover_rate -- 당일 재고 회전율 (소진율 %)
FROM
    core_stock_rate
WHERE
    masked_stor_cd = :store_id
    AND prc_dt = :date_from          -- 'YYYYMMDD' 형식의 조회 당일
    AND ord_avg > 0                   -- 공급량이 존재하는 유효 품목 한정
ORDER BY
    turnover_rate DESC,               -- 회전율이 가장 높은 순으로 정렬
    stk_rt ASC                        -- 회전율이 같다면 재고율이 낮게 남은 순
LIMIT 10;                             -- 상위 10개 품목 제한","SELECT 
    item_cd,
    item_nm,
    ord_avg AS supply_qty,
    sal_avg AS sales_qty,
    stk_avg AS stock_qty,
    stk_rt AS stock_rate,
    ROUND((sal_avg / NULLIF(ord_avg, 0)) * 100, 2) AS turnover_rate
FROM 
    core_stock_rate
WHERE 
    masked_stor_cd = 'POC_010'
    AND prc_dt = '20260331'
    AND ord_avg > 0
ORDER BY 
    turnover_rate DESC,
    stk_rt ASC
LIMIT 10;","오늘 기준 재고율 대비 판매수량 비율(회전율)이 높은 품목 상위 10개를 수치와 함께 나열하고, 빠른 회전 품목에 대한 재고 보충 필요성을 안내",production_get_top_fastest_stock_rotation_items,재고 회전 빠른 품목|잘 팔리는 품목|빨리 소진되는 품목|회전율 높은 메뉴|지금 잘 나가는 품목|빨리 떨어지는 품목
015-001-002-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고 회전율 상하위 비교,이번 달 재고 회전율 상위 품목과 하위 품목 비교해줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",회전율 = 판매수량 / (평균재고율 × 기준수량); 기준수량은 가정 필요,"WITH monthly_inventory AS (
    -- 1. 이번 달 기준 품목별 총 판매량과 일평균 재고량 집계
    SELECT 
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(sal_avg) AS total_sales,
        AVG(stk_avg) AS avg_stock
    FROM 
        core_stock_rate
    WHERE 
        masked_stor_cd = :store_id
        AND prc_dt >= :date_from 
        AND prc_dt <= :date_to
    GROUP BY 
        item_cd
    HAVING 
        AVG(stk_avg) > 0 -- 평균 재고가 0 이하(품절/음수)인 예외 케이스 제외
),
turnover_calc AS (
    -- 2. 재고 회전율 산출 (총 판매량 / 일평균 재고량)
    SELECT 
        item_cd,
        item_nm,
        total_sales,
        ROUND(avg_stock, 1) AS avg_stock,
        ROUND(total_sales / avg_stock, 2) AS turnover_rate
    FROM 
        monthly_inventory
),
ranked_items AS (
    -- 3. 회전율을 기준으로 상위 랭킹(내림차순)과 하위 랭킹(오름차순) 부여
    SELECT 
        *,
        RANK() OVER (ORDER BY turnover_rate DESC) AS high_rank,
        RANK() OVER (ORDER BY turnover_rate ASC) AS low_rank
    FROM 
        turnover_calc
)
-- 4. 상/하위 각각 5개씩만 필터링하여 카테고리별로 출력
SELECT 
    CASE 
        WHEN high_rank <= 5 THEN '🚀 회전율 상위 (악성 결품 주의)'
        WHEN low_rank <= 5 THEN '🐌 회전율 하위 (과잉 재고 주의)'
    END AS category_label,
    item_cd,
    item_nm,
    total_sales,
    avg_stock,
    turnover_rate
FROM 
    ranked_items
WHERE 
    high_rank <= 5 OR low_rank <= 5
ORDER BY 
    CASE WHEN high_rank <= 5 THEN 1 ELSE 2 END ASC, -- 상위 그룹 먼저 출력
    turnover_rate DESC;","WITH monthly_inventory AS (
    SELECT 
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(sal_avg) AS total_sales,
        AVG(stk_avg) AS avg_stock
    FROM 
        core_stock_rate
    WHERE 
        masked_stor_cd = 'POC_001'
        AND prc_dt >= '20260301' 
        AND prc_dt <= '20260331'
    GROUP BY 
        item_cd
    HAVING 
        AVG(stk_avg) > 0
),
turnover_calc AS (
    SELECT 
        item_cd,
        item_nm,
        total_sales,
        ROUND(avg_stock, 1) AS avg_stock,
        ROUND(total_sales / avg_stock, 2) AS turnover_rate
    FROM 
        monthly_inventory
),
ranked_items AS (
    SELECT 
        *,
        RANK() OVER (ORDER BY turnover_rate DESC) AS high_rank,
        RANK() OVER (ORDER BY turnover_rate ASC) AS low_rank
    FROM 
        turnover_calc
)
SELECT 
    CASE 
        WHEN high_rank <= 5 THEN '🚀 회전율 상위 (악성 결품 주의)'
        WHEN low_rank <= 5 THEN '🐌 회전율 하위 (과잉 재고 주의)'
    END AS category_label,
    item_cd,
    item_nm,
    total_sales,
    avg_stock,
    turnover_rate
FROM 
    ranked_items
WHERE 
    high_rank <= 5 OR low_rank <= 5
ORDER BY 
    CASE WHEN high_rank <= 5 THEN 1 ELSE 2 END ASC,
    turnover_rate DESC;","월간 재고 회전율 상위 5개 품목과 하위 5개 품목을 대비 테이블로 제시하고, 하위 품목의 과잉 생산 여부를 분석",production_compare_top_bottom_inventory_turnover_rate,품절 잦은 품목|자주 떨어지는 품목|반복 품절 품목|품절 빈번한 메뉴|품절 자주 발생|품절 위험 품목
017-001-002-,POC_010,2026-03-05 09:00 (KST),생산 관리,점심 피크 직전 저재고,오늘 점심 피크(12~14시) 직전 재고율이 낮았던 품목 알려줘,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",피크 시간대 직전 재고율은 시간대별 데이터에서 추정; 정확한 시각 단위 측정 제한,"SELECT 
    item_cd,
    item_nm,
    stk_rt AS stock_rate,  -- 일자별 재고율
    sold_out_tm,         -- 품절 발생 시각 (시 단위)
    ord_avg,               -- 판매가능수량 (공급량)
    sal_avg,               -- 실제 판매량
    stk_avg                -- 재고량
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = :store_id
    AND prc_dt = :date_from          -- 'YYYYMMDD' 형식의 오늘 날짜
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE            -- 품절이 발생한 품목
    AND sold_out_tm < 12            -- 점심 피크(12~14시) 직전인 12시 미만에 품절된 품목
ORDER BY 
    stk_rt ASC;  ","SELECT 
    item_cd,
    item_nm,
    stk_rt AS stock_rate,  -- 일자별 재고율
    sold_out_tm,         -- 품절 발생 시각 (시 단위)
    ord_avg,               -- 판매가능수량 (공급량)
    sal_avg,               -- 실제 판매량
    stk_avg                -- 재고량
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = :store_id
    AND prc_dt = :date_from          -- '20260305' 형식의 오늘 날짜
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE            -- 품절이 발생한 품목
    AND sold_out_tm < 12            -- 점심 피크(12~14시) 직전인 12시 미만에 품절된 품목
ORDER BY 
    stk_rt ASC;  ","점심 피크 시작 직전(11시대) 재고율이 낮은 품목을 나열하고, 피크 수요를 충족하지 못할 위험이 있는 품목에 대해 사전 생산 등록 필요성을 안내",,
018-001-002-,POC_010,2026-03-05 09:00 (KST),생산 관리,저녁 피크 전 부족 품목,어제 저녁 피크(17~19시) 시작 전 재고 부족 품목 있었어?,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",피크 시간대 직전 재고율은 시간대별 데이터에서 추정; 정확한 시각 단위 측정 제한,"SELECT 
    item_cd,
    item_nm,
    stk_rt AS stock_rate,  -- 일자별 재고율
    sold_out_tm,         -- 품절 발생 시각 (시 단위)
    ord_avg,               -- 판매가능수량 (공급량)
    sal_avg,               -- 실제 판매량
    stk_avg                -- 재고량
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = :store_id
    AND prc_dt = :date_from          -- 'YYYYMMDD' 형식 (어제 날짜 입력)
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE            -- 품절이 발생한 품목
    AND sold_out_tm < 17            -- 저녁 피크(17~19시) 시작 전인 17시 미만에 품절된 품목
ORDER BY 
    stk_rt ASC;                       -- 재고율이 가장 낮은(부족한) 순으로 정렬","SELECT 
    item_cd,
    item_nm,
    stk_rt AS stock_rate,
    sold_out_tm,
    ord_avg,
    sal_avg,
    stk_avg
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = 'POC_010'
    AND prc_dt = '20260423'       -- 오늘(2026-04-24) 기준 어제 날짜
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE        -- 품절 여부 확인
    AND sold_out_tm < 17        -- 17시 이전 품절 확인
ORDER BY 
    stk_rt ASC;","저녁 피크 직전 재고율 낮은 품목 목록을 수치와 함께 제시하고, 피크 중 품절 발생 가능성이 높았던 품목을 강조",,
019-001-002-,POC_010,2026-03-05 09:00 (KST),생산 관리,피크마다 부족한 품목,이번 주 피크 시간대마다 재고 부족을 반복한 품목 있어?,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",피크 시간대 직전 재고율은 시간대별 데이터에서 추정; 정확한 시각 단위 측정 제한,"SELECT 
    item_cd,
    item_nm,
    COUNT(prc_dt) AS peak_stockout_cnt            -- 피크 시간대 내 품절 발생 횟수(일수)
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = :store_id
    AND prc_dt BETWEEN :date_from AND :date_to
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE                        -- 품절 발생 건 필터링
    AND sold_out_tm IN (12, 13, 14, 18, 19, 20) -- 피크 시간대(점심/저녁) 필터링
GROUP BY 
    item_cd, 
    item_nm
HAVING 
    COUNT(prc_dt) >= 2                            -- 해당 주간에 2회 이상 반복해서 품절된 품목만
ORDER BY 
    peak_stockout_cnt DESC                        -- 반복 횟수가 가장 많은 품목 순으로 정렬
LIMIT 10;
","SELECT 
    item_cd,
    item_nm,
    COUNT(prc_dt) AS peak_stockout_cnt
FROM 
    core_stockout_time
WHERE 
    masked_stor_cd = 'POC_010'
    AND prc_dt BETWEEN '20260226' AND '20260304'
    AND (CASE WHEN sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE
    AND sold_out_tm IN (12, 13, 14, 18, 19, 20)
GROUP BY 
    item_cd, 
    item_nm
HAVING 
    COUNT(prc_dt) >= 2
ORDER BY 
    peak_stockout_cnt DESC
LIMIT 10;","이번 주 피크 시간대(12~14시, 17~19시) 전후 재고율 변화를 통해 반복적으로 재고 부족을 보인 품목을 나열하고 생산 타이밍 개선 방향을 제시",,
020-001-002-,POC_010,2026-03-05 09:00 (KST),생산 관리,피크 전 재고 준비 비교,지난주 피크 시간 전 재고 준비가 잘 된 품목과 부족했던 품목 비교해줘,⚠️,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",피크 시간대 직전 재고율은 시간대별 데이터에서 추정; 정확한 시각 단위 측정 제한,"WITH daily_peak AS (
    -- 1. 지정된 기간 내 일자별 전체 매출 피크 시간(가장 매출이 높은 시간대) 계산
    SELECT 
        sale_dt,
        CAST(tmzon_div AS INT) AS peak_hour
    FROM (
        SELECT 
            sale_dt,
            tmzon_div,
            SUM(actual_sale_amt) AS total_amt,
            -- 일자별 매출 합계 기준 내림차순 순위 부여
            ROW_NUMBER() OVER(PARTITION BY sale_dt ORDER BY SUM(actual_sale_amt) DESC) as rn
        FROM core_hourly_item_sales
        WHERE masked_stor_cd = :store_id AND sale_dt >= :date_from AND sale_dt <= :date_to
        GROUP BY sale_dt, tmzon_div
    ) sub
    WHERE rn = 1
),
item_stock_status AS (
    -- 2. 품목별로 해당 일자의 피크 시간 이전 품절 여부 확인
    SELECT 
        st.item_cd,
        MAX(st.item_nm) AS item_nm,
        COUNT(st.prc_dt) AS total_days,
        
        -- 품절이 발생했고(TRUE), 그 시각이 피크 시간보다 작거나 같으면 '부족(기회 손실)'
        SUM(CASE WHEN (CASE WHEN st.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE AND st.sold_out_tm <= dp.peak_hour THEN 1 ELSE 0 END) AS short_stock_days,
        
        -- 품절이 안 났거나(FALSE), 피크 시간 이후에 났으면 '양호'
        SUM(CASE WHEN (CASE WHEN st.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = FALSE OR st.sold_out_tm > dp.peak_hour THEN 1 ELSE 0 END) AS good_stock_days
    FROM core_stockout_time st
    JOIN daily_peak dp ON st.prc_dt = dp.sale_dt
    WHERE st.prc_dt >= :date_from AND st.prc_dt <= :date_to
    GROUP BY st.item_cd
)
-- 3. 부족한 날과 양호한 날의 횟수 비교로 최종 재고 상태 분류
SELECT 
    item_cd, 
    item_nm,
    total_days,
    short_stock_days AS stockout_before_peak_days, -- 피크 전 품절 일수
    good_stock_days AS well_prepared_days,         -- 피크 통과 일수
    
    CASE 
        WHEN short_stock_days >= good_stock_days THEN '🚨 재고 부족 (피크 전 품절 빈번)'
        ELSE '✅ 재고 양호 (피크 커버)' 
    END AS stock_status
FROM item_stock_status
ORDER BY short_stock_days DESC, good_stock_days DESC;","WITH daily_peak AS (
    SELECT
        sale_dt,
        CAST(tmzon_div AS INT) AS peak_hour
    FROM (
        SELECT
            sale_dt,
            tmzon_div,
            SUM(actual_sale_amt) AS total_amt,
            ROW_NUMBER() OVER(PARTITION BY sale_dt ORDER BY SUM(actual_sale_amt) DESC) as rn
        FROM core_hourly_item_sales
        WHERE sale_dt >= '20260223' AND sale_dt <= '20260301'
        GROUP BY sale_dt, tmzon_div
    ) sub
    WHERE rn = 1
),
item_stock_status AS (
    SELECT
        st.item_cd,
        MAX(st.item_nm) AS item_nm,
        COUNT(st.prc_dt) AS total_days,
        SUM(CASE WHEN (CASE WHEN st.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = TRUE AND st.sold_out_tm <= dp.peak_hour THEN 1 ELSE 0 END) AS short_stock_days,
        SUM(CASE WHEN (CASE WHEN st.sold_out_tm IS NOT NULL THEN TRUE ELSE FALSE END) = FALSE OR st.sold_out_tm > dp.peak_hour THEN 1 ELSE 0 END) AS good_stock_days
    FROM core_stockout_time st
    JOIN daily_peak dp ON st.prc_dt = dp.sale_dt
    WHERE st.prc_dt >= '20260223' AND st.prc_dt <= '20260301'
    GROUP BY st.item_cd
)
SELECT
    item_cd,
    item_nm,
    total_days,
    short_stock_days AS stockout_before_peak_days,
    good_stock_days AS well_prepared_days,
    CASE
        WHEN short_stock_days >= good_stock_days THEN '🚨 재고 부족 (피크 전 품절 빈번)'
        ELSE '✅ 재고 양호 (피크 커버)'
    END AS stock_status
FROM item_stock_status
ORDER BY short_stock_days DESC, good_stock_days DESC;","지난주 피크 전 재고율 기준으로 충분히 준비된 품목(80%↑)과 부족했던 품목(20%↓)을 비교 제시하고, 개선 필요 품목을 구체적으로 안내",,
